,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,Unnamed: 6,Unnamed: 7,mkt_rf,smb,hml,rmw,cma,rf
2002-07-01,11.2%,-3.0%,-0.4%,33.4%,41.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-08-01,13.0%,-9.8%,-17.1%,-4.5%,-7.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-09-01,19.1%,-3.9%,2.8%,-6.1%,4.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-10-01,-20.4%,-28.0%,-15.9%,-20.3%,-22.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-11-01,-13.6%,-9.3%,-9.9%,-20.6%,-12.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-12-01,5.4%,40.4%,17.5%,-8.6%,-6.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-01-01,-8.6%,3.2%,-8.2%,-22.8%,-4.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-02-01,7.2%,-9.8%,-0.9%,22.2%,-1.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-03-01,-0.9%,3.4%,-6.5%,-0.6%,5.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-04-01,-23.4%,-11.1%,-11.1%,-21.0%,-5.3%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-05-01,19.2%,25.2%,15.3%,-5.6%,4.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-06-01,-5.0%,-5.8%,-15.8%,5.7%,-7.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-07-01,23.6%,3.4%,15.2%,-7.5%,-21.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-08-01,-8.1%,6.4%,24.0%,11.3%,-13.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-09-01,2.5%,45.0%,-0.6%,-14.9%,1.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-10-01,-17.0%,-8.4%,1.7%,-10.5%,-24.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-11-01,-11.4%,11.0%,-8.3%,4.0%,-18.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2003-12-01,-7.3%,3.0%,-0.3%,-8.7%,-1.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-01-01,-14.3%,0.0%,3.5%,-11.6%,-11.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-02-01,-10.0%,-7.1%,7.4%,-6.9%,-14.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-03-01,-0.7%,12.3%,14.9%,-1.6%,-1.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-04-01,-2.0%,-7.9%,10.5%,2.3%,-18.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-05-01,-13.2%,-12.0%,11.1%,15.1%,-25.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-06-01,-17.1%,-17.9%,-9.3%,-18.3%,-15.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-07-01,-11.6%,-8.8%,15.4%,-24.7%,-18.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-08-01,0.7%,-30.0%,-6.1%,-7.3%,-23.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-09-01,-12.4%,-15.3%,1.8%,-13.7%,-8.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-10-01,-5.5%,23.3%,-5.6%,-7.3%,6.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-11-01,-4.3%,41.8%,-4.1%,1.0%,13.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2004-12-01,-3.4%,-6.0%,-11.2%,-13.6%,1.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-01-01,-9.9%,-11.1%,-12.5%,-16.3%,-19.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-02-01,-3.0%,-5.3%,40.6%,10.7%,5.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-03-01,-13.4%,-0.4%,-10.0%,-12.5%,2.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-04-01,0.6%,-13.8%,-20.1%,-4.7%,7.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-05-01,3.6%,36.5%,-1.6%,-9.0%,-26.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-06-01,1.0%,-4.1%,-2.1%,19.2%,0.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-07-01,-26.0%,-2.9%,-22.0%,-4.8%,6.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-08-01,3.4%,-17.5%,1.2%,-9.0%,-7.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-09-01,-13.1%,18.8%,6.0%,25.6%,4.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-10-01,-3.3%,-2.1%,-10.7%,28.5%,0.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-11-01,-10.5%,18.4%,1.7%,-0.9%,-11.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2005-12-01,-1.9%,0.6%,9.9%,-6.6%,-6.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
